_id,name,slug,parent_category
68dd59578d5c1dd8f9cf5cab,https://www.lottemart.vn/vi-nsg/category/tuong-ot-tuong-ca-tuong-den-c219,tuong-ot-tuong-ca-tuong-den,"Tương Ớt, Tương Cà, Tương Đen",68dd59458d5c1dd8f9cf5ca6,2025-10-01T16:39:51.226Z,2025-10-01T16:39:51.226Z
68dd59578d5c1dd8f9cf5cac,https://www.lottemart.vn/vi-nsg/category/sot-gia-vi-cac-loai-c220,sot-gia-vi-cac-loai,"Sốt, Gia Vị Các Loại",68dd59458d5c1dd8f9cf5ca6,2025-10-01T16:39:51.226Z,2025-10-01T16:39:51.226Z
68dd59608d5c1dd8f9cf5cad,https://www.lottemart.vn/vi-nsg/category/dau-hao-tuong-hot-giam-c604,dau-hao-tuong-hot-giam,"Dầu Hào, Tương Hột, Giấm",68dd59578d5c1dd8f9cf5cac,2025-10-01T16:40:00.519Z,2025-10-01T16:40:00.519Z
68dd59608d5c1dd8f9cf5cae,https://www.lottemart.vn/vi-nsg/category/tieu-sa-te-c605,tieu-sa-te,"Tiêu, Sa Tế",68dd59578d5c1dd8f9cf5cac,2025-10-01T16:40:00.520Z,2025-10-01T16:40:00.520Z
68dd59608d5c1dd8f9cf5caf,https://www.lottemart.vn/vi-nsg/category/bot-gia-vi-c606,bot-gia-vi,Bột Gia Vị,68dd59578d5c1dd8f9cf5cac,2025-10-01T16:40:00.520Z,2025-10-01T16:40:00.520Z
68dd59608d5c1dd8f9cf5cb0,https://www.lottemart.vn/vi-nsg/category/gia-vi-hoan-chinh-c607,gia-vi-hoan-chinh,Gia Vị Hoàn Chỉnh,68dd59578d5c1dd8f9cf5cac,2025-10-01T16:40:00.520Z,2025-10-01T16:40:00.520Z
68dd599c8d5c1dd8f9cf5cb1,https://www.lottemart.vn/vi-nsg/category/tuong-ot-c600,tuong-ot,Tương Ớt,68dd59578d5c1dd8f9cf5cab,2025-10-01T16:41:00.977Z,2025-10-01T16:41:00.977Z
68dd599c8d5c1dd8f9cf5cb2,https://www.lottemart.vn/vi-nsg/category/tuong-ca-c601,tuong-ca,Tương Cà,68dd59578d5c1dd8f9cf5cab,2025-10-01T16:41:00.977Z,2025-10-01T16:41:00.977Z
68dd599c8d5c1dd8f9cf5cb3,https://www.lottemart.vn/vi-nsg/category/tuong-den-c602,tuong-den,Tương Đen,68dd59578d5c1dd8f9cf5cab,2025-10-01T16:41:00.977Z,2025-10-01T16:41:00.977Z
68dd599c8d5c1dd8f9cf5cb4,https://www.lottemart.vn/vi-nsg/category/mayonnaise-c603,mayonnaise,Mayonnaise,68dd59578d5c1dd8f9cf5cab,2025-10-01T16:41:00.977Z,2025-10-01T16:41:00.977Z
68dd59ca8d5c1dd8f9cf5cb5,https://www.lottemart.vn/vi-nsg/category/muoi-c598,muoi,Muối,68dd59578d5c1dd8f9cf5caa,2025-10-01T16:41:46.878Z,2025-10-01T16:41:46.878Z
68dd59ca8d5c1dd8f9cf5cb6,https://www.lottemart.vn/vi-nsg/category/duong-c599,duong,Đường,68dd59578d5c1dd8f9cf5caa,2025-10-01T16:41:46.878Z,2025-10-01T16:41:46.878Z
68dd59e58d5c1dd8f9cf5cb7,https://www.lottemart.vn/vi-nsg/category/hat-nem-bot-canh-c596,hat-nem-bot-canh,"Hạt Nêm, Bột Canh",68dd59578d5c1dd8f9cf5ca9,2025-10-01T16:42:13.967Z,2025-10-01T16:42:13.967Z
68dd59e58d5c1dd8f9cf5cb8,https://www.lottemart.vn/vi-nsg/category/bot-ngot-c597,bot-ngot,Bột Ngọt,68dd59578d5c1dd8f9cf5ca9,2025-10-01T16:42:13.967Z,2025-10-01T16:42:13.967Z
68dd5a018d5c1dd8f9cf5cb9,https://www.lottemart.vn/vi-nsg/category/nuoc-mam-c594,nuoc-mam,Nước Mắm,68dd59578d5c1dd8f9cf5ca8,2025-10-01T16:42:41.580Z,2025-10-01T16:42:41.580Z
68dd5a018d5c1dd8f9cf5cba,https://www.lottemart.vn/vi-nsg/category/nuoc-tuong-c595,nuoc-tuong,Nước Tương,68dd59578d5c1dd8f9cf5ca8,2025-10-01T16:42:41.580Z,2025-10-01T16:42:41.580Z
68dd5a1c8d5c1dd8f9cf5cbb,https://www.lottemart.vn/vi-nsg/category/gao-bot-dau-c187,gao-bot-dau,"Gạo, Bột, Đậu",68dd56228d5c1dd8f9cf5c4e,2025-10-01T16:43:08.665Z,2025-10-01T16:43:08.665Z
68dd5a1c8d5c1dd8f9cf5cbc,https://www.lottemart.vn/vi-nsg/category/mi-bun-topokki-an-lien-c190,mi-bun-topokki-an-lien,"Mì, Bún, Topokki Ăn Liền",68dd56228d5c1dd8f9cf5c4e,2025-10-01T16:43:08.665Z,2025-10-01T16:43:08.665Z
68dd5a1c8d5c1dd8f9cf5cbd,https://www.lottemart.vn/vi-nsg/category/mi-bun-nui-kho-c197,mi-bun-nui-kho,"Mì, Bún, Nui Khô",68dd56228d5c1dd8f9cf5c4e,2025-10-01T16:43:08.665Z,2025-10-01T16:43:08.665Z
68dd5a1c8d5c1dd8f9cf5cbe,https://www.lottemart.vn/vi-nsg/category/rong-bien-banh-trang-c199,rong-bien-banh-trang,"Rong Biển, Bánh Tráng",68dd56228d5c1dd8f9cf5c4e,2025-10-01T16:43:08.665Z,2025-10-01T16:43:08.665Z
68dd5a2b8d5c1dd8f9cf5cbf,https://www.lottemart.vn/vi-nsg/category/rong-bien-c592,rong-bien,Rong Biển,68dd5a1c8d5c1dd8f9cf5cbe,2025-10-01T16:43:23.902Z,2025-10-01T16:43:23.902Z
68dd5a2b8d5c1dd8f9cf5cc0,https://www.lottemart.vn/vi-nsg/category/banh-trang-banh-phong-c593,banh-trang-banh-phong,"Bánh Tráng, Bánh Phồng",68dd5a1c8d5c1dd8f9cf5cbe,2025-10-01T16:43:23.902Z,2025-10-01T16:43:23.902Z
